,datetime,windspeed,winddir
387,2023-01-23,18.9,62.4
388,2023-01-24,14.6,21.9
389,2023-01-25,26.8,94.9
390,2023-01-26,21.8,98.2
391,2023-01-27,17.8,147.4
392,2023-01-28,16.4,189.4
393,2023-01-29,26.9,79.7
394,2023-01-30,26.8,354.1
395,2023-01-31,28.3,357.2
396,2023-02-01,13.8,8.5
397,2023-02-02,22.4,17.7
398,2023-02-03,16.3,8.6
399,2023-02-04,20.0,89.3
400,2023-02-05,10.4,52.0
401,2023-02-06,15.6,107.7
402,2023-02-07,16.6,92.3
403,2023-02-08,20.5,131.5
404,2023-02-09,18.4,20.6
405,2023-02-10,13.6,109.7
406,2023-02-11,22.2,84.1
407,2023-02-12,15.3,25.8
408,2023-02-13,15.6,95.5
409,2023-02-14,18.4,51.7
410,2023-02-15,22.0,28.9
411,2023-02-16,18.2,46.8
412,2023-02-17,18.9,69.5
413,2023-02-18,17.1,40.8
414,2023-02-19,12.9,7.9
415,2023-02-20,30.0,295.9
416,2023-02-21,17.7,229.1
417,2023-02-22,15.6,25.2
418,2023-02-23,14.4,81.8
419,2023-02-24,12.7,107.6
420,2023-02-25,15.5,123.3
421,2023-02-26,22.6,92.8
422,2023-02-27,18.1,75.4
423,2023-02-28,18.2,103.8
424,2023-03-01,25.2,142.3
425,2023-03-02,19.0,96.6
426,2023-03-03,19.0,15.5
427,2023-03-04,18.8,280.6
428,2023-03-05,22.5,291.2
429,2023-03-06,19.4,317.6
430,2023-03-07,19.2,61.2
431,2023-03-08,14.2,323.1
432,2023-03-09,18.7,208.4
433,2023-03-10,12.7,52.8
434,2023-03-11,10.7,353.5
435,2023-03-12,26.2,88.4
436,2023-03-13,22.8,85.4
437,2023-03-14,12.7,111.8
438,2023-03-15,14.5,190.6
439,2023-03-16,14.4,97.3
440,2023-03-17,12.0,354.4
441,2023-03-18,13.9,282.6
442,2023-03-19,12.4,295.2
443,2023-03-20,16.6,6.2
444,2023-03-21,21.9,72.1
445,2023-03-22,19.3,36.1
446,2023-03-23,17.6,56.6
447,2023-03-24,16.3,29.7
448,2023-03-25,13.6,352.0
449,2023-03-26,20.8,254.7
450,2023-03-27,22.5,74.5
451,2023-03-28,17.8,344.6
452,2023-03-29,21.3,295.9
453,2023-03-30,30.7,305.8
454,2023-03-31,22.0,13.8
455,2023-04-01,10.4,303.0
456,2023-04-02,14.8,338.9
457,2023-04-03,22.0,305.5
458,2023-04-04,18.5,83.6
459,2023-04-05,12.8,65.5
460,2023-04-06,10.3,230.2
461,2023-04-07,19.4,284.1
462,2023-04-08,16.0,305.3
463,2023-04-09,34.7,304.2
464,2023-04-10,18.2,310.3
465,2023-04-11,13.4,216.2
466,2023-04-12,21.4,327.0
467,2023-04-13,23.3,310.6
468,2023-04-14,21.7,216.1
469,2023-04-15,16.3,41.7
470,2023-04-16,10.7,32.3
471,2023-04-17,11.2,288.2
472,2023-04-18,11.8,207.7
473,2023-04-19,10.9,269.2
474,2023-04-20,21.0,298.2
475,2023-04-21,19.9,308.7
476,2023-04-22,26.5,290.0
477,2023-04-23,13.7,220.3
478,2023-04-24,14.8,324.5
479,2023-04-25,21.7,317.8
480,2023-04-26,14.7,327.7
481,2023-04-27,19.7,296.6
482,2023-04-28,14.6,248.5
483,2023-04-29,20.2,279.5
484,2023-04-30,13.1,33.3
485,2023-05-01,15.4,355.2
486,2023-05-02,21.8,283.2
487,2023-05-03,27.1,273.6
488,2023-05-04,17.8,313.8
489,2023-05-05,22.4,267.2
490,2023-05-06,17.3,313.5
491,2023-05-07,27.1,143.9
492,2023-05-08,39.1,155.0
493,2023-05-09,12.8,285.0
494,2023-05-10,13.1,271.3
495,2023-05-11,17.4,269.3
496,2023-05-12,15.2,307.8
497,2023-05-13,19.7,2.2
498,2023-05-14,21.5,355.8
499,2023-05-15,22.6,102.8
500,2023-05-16,17.4,12.0
501,2023-05-17,19.3,273.8
502,2023-05-18,26.4,305.4
503,2023-05-19,24.3,248.3
504,2023-05-20,12.1,321.9
505,2023-05-21,22.6,285.5
506,2023-05-22,15.2,344.6
507,2023-05-23,17.2,10.8
508,2023-05-24,14.8,334.9
509,2023-05-25,21.0,3.4
510,2023-05-26,16.4,172.5
511,2023-05-27,17.6,38.2
512,2023-05-28,16.3,38.4
513,2023-05-29,11.0,49.2
514,2023-05-30,27.1,26.1
515,2023-05-31,25.1,339.1
516,2023-06-01,16.9,256.1
517,2023-06-02,19.2,310.3
518,2023-06-03,29.5,314.4
519,2023-06-04,22.0,319.3
520,2023-06-05,16.5,174.2
521,2023-06-06,19.6,348.6
522,2023-06-07,17.2,353.8
523,2023-06-08,28.3,299.2
524,2023-06-09,29.0,245.8
525,2023-06-10,14.1,230.5
526,2023-06-11,18.3,304.8
527,2023-06-12,17.4,262.3
528,2023-06-13,22.4,205.4
529,2023-06-14,24.1,272.8
530,2023-06-15,29.3,251.7
531,2023-06-16,19.8,197.8
532,2023-06-17,16.7,302.2
533,2023-06-18,13.8,334.8
534,2023-06-19,30.0,294.3
535,2023-06-20,15.3,201.0
536,2023-06-21,18.8,299.0
537,2023-06-22,14.2,332.7
538,2023-06-23,13.1,16.0
539,2023-06-24,13.4,311.5
540,2023-06-25,11.2,316.2
541,2023-06-26,14.6,317.4
542,2023-06-27,19.3,18.7
543,2023-06-28,23.7,23.4
544,2023-06-29,16.8,248.7
545,2023-06-30,17.8,185.1
546,2023-07-01,14.0,316.5
547,2023-07-02,9.7,336.2
548,2023-07-03,12.7,345.1
549,2023-07-04,15.8,272.6
550,2023-07-05,10.8,211.1
551,2023-07-06,14.6,340.0
552,2023-07-07,19.0,290.8
553,2023-07-08,21.1,293.1
554,2023-07-09,25.5,202.7
555,2023-07-10,33.7,153.1
556,2023-07-11,30.5,116.7
557,2023-07-12,22.1,97.5
558,2023-07-13,15.0,80.9
559,2023-07-14,17.4,32.6
560,2023-07-15,15.2,347.4
561,2023-07-16,23.3,209.7
562,2023-07-17,10.0,322.5
563,2023-07-18,13.4,312.4
564,2023-07-19,18.7,212.6
565,2023-07-20,27.1,56.2
566,2023-07-21,20.8,49.4
567,2023-07-22,15.6,338.7
568,2023-07-23,16.3,315.7
569,2023-07-24,29.1,267.7
570,2023-07-25,19.0,21.0
571,2023-07-26,16.1,7.8
572,2023-07-27,18.5,309.8
573,2023-07-28,17.4,335.0
574,2023-07-29,31.0,322.4
575,2023-07-30,30.8,200.4
576,2023-07-31,17.7,202.5
577,2023-08-01,19.8,85.6
578,2023-08-02,20.9,53.3
579,2023-08-03,14.3,21.7
580,2023-08-04,15.5,319.2
581,2023-08-05,11.0,342.0
582,2023-08-06,9.9,305.5
583,2023-08-07,12.2,178.8
584,2023-08-08,10.3,342.3
585,2023-08-09,29.8,86.9
586,2023-08-10,23.2,47.4
587,2023-08-11,11.2,289.9
588,2023-08-12,15.0,292.7
589,2023-08-13,17.9,315.3
590,2023-08-14,25.9,315.4
591,2023-08-15,30.4,242.2
592,2023-08-16,18.9,22.9
593,2023-08-17,23.4,6.1
594,2023-08-18,26.2,288.4
595,2023-08-19,27.9,330.3
596,2023-08-20,18.7,303.7
597,2023-08-21,28.0,291.2
598,2023-08-22,23.7,288.3
599,2023-08-23,23.0,211.5
600,2023-08-24,20.8,29.8
601,2023-08-25,30.4,357.3
602,2023-08-26,24.8,186.3
603,2023-08-27,22.7,87.8
604,2023-08-28,17.2,61.4
605,2023-08-29,13.4,33.9
606,2023-08-30,15.4,356.8
607,2023-08-31,19.6,301.9
608,2023-09-01,20.8,325.1
609,2023-09-02,30.5,341.6
610,2023-09-03,23.3,2.7
611,2023-09-04,14.9,286.1
612,2023-09-05,20.1,305.5
613,2023-09-06,20.9,228.1
614,2023-09-07,17.3,278.9
615,2023-09-08,16.8,317.4
616,2023-09-09,14.9,342.5
617,2023-09-10,18.4,306.5
618,2023-09-11,41.7,243.9
619,2023-09-12,28.7,114.5
620,2023-09-13,25.0,28.8
621,2023-09-14,17.9,329.5
622,2023-09-15,25.2,260.2
623,2023-09-16,32.0,243.1
624,2023-09-17,17.3,230.6
625,2023-09-18,19.0,11.8
626,2023-09-19,25.9,348.5
627,2023-09-20,16.8,235.8
628,2023-09-21,25.1,288.6
629,2023-09-22,19.3,315.3
630,2023-09-23,20.4,8.6
631,2023-09-24,34.7,37.4
632,2023-09-25,32.2,3.2
633,2023-09-26,23.3,185.3
634,2023-09-27,20.8,108.7
635,2023-09-28,11.9,352.7
636,2023-09-29,16.6,350.4
637,2023-09-30,25.5,295.5
638,2023-10-01,26.0,188.9
639,2023-10-02,20.3,50.8
640,2023-10-03,15.1,7.8
641,2023-10-04,16.8,2.9
642,2023-10-05,13.4,338.2
643,2023-10-06,17.5,357.3
644,2023-10-07,15.4,354.4
645,2023-10-08,22.9,349.6
646,2023-10-09,24.3,6.9
647,2023-10-10,15.5,9.1
648,2023-10-11,14.9,333.5
649,2023-10-12,18.5,160.1
650,2023-10-13,31.0,228.0
651,2023-10-14,17.1,50.8
652,2023-10-15,24.4,35.4
653,2023-10-16,29.2,13.1
654,2023-10-17,30.3,114.6
655,2023-10-18,19.6,113.8
656,2023-10-19,15.1,33.2
657,2023-10-20,20.2,0.5
658,2023-10-21,25.5,342.6
659,2023-10-22,34.6,161.4
660,2023-10-23,17.5,4.8
661,2023-10-24,27.7,260.2
662,2023-10-25,15.5,166.8
663,2023-10-26,15.3,9.3
664,2023-10-27,25.4,349.2
665,2023-10-28,47.3,326.6
666,2023-10-29,36.7,105.4
667,2023-10-30,28.3,104.2
668,2023-10-31,21.9,98.5
669,2023-11-01,19.9,71.8
670,2023-11-02,17.1,16.2
671,2023-11-03,25.2,18.6
672,2023-11-04,15.6,357.6
673,2023-11-05,15.8,349.9
674,2023-11-06,25.6,344.8
675,2023-11-07,16.6,113.8
676,2023-11-08,16.5,12.5
677,2023-11-09,19.8,334.8
678,2023-11-10,19.5,14.8
679,2023-11-11,19.3,356.8
680,2023-11-12,18.7,342.0
681,2023-11-13,22.6,19.1
682,2023-11-14,24.2,54.1
683,2023-11-15,19.6,14.5
684,2023-11-16,18.2,287.3
685,2023-11-17,21.1,300.4
686,2023-11-18,28.0,258.0
687,2023-11-19,13.4,359.0
688,2023-11-20,19.7,315.0
689,2023-11-21,18.4,268.2
690,2023-11-22,20.6,346.0
691,2023-11-23,21.6,36.9
692,2023-11-24,25.7,28.9
693,2023-11-25,19.1,49.7
694,2023-11-26,19.3,15.7
695,2023-11-27,36.6,14.5
696,2023-11-28,17.4,286.1
697,2023-11-29,30.8,206.7
698,2023-11-30,22.2,66.4
699,2023-12-01,12.1,10.1
700,2023-12-02,13.7,342.8
701,2023-12-03,17.7,10.3
702,2023-12-04,15.1,1.3
703,2023-12-05,18.1,10.8
704,2023-12-06,31.4,50.6
705,2023-12-07,26.3,39.9
706,2023-12-08,22.2,346.8
707,2023-12-09,32.6,346.0
708,2023-12-10,22.9,49.2
709,2023-12-11,23.7,32.4
710,2023-12-12,17.5,315.6
711,2023-12-13,24.7,19.3
712,2023-12-14,23.1,355.3
713,2023-12-15,24.9,2.3
714,2023-12-16,18.8,333.0
715,2023-12-17,13.0,4.0
716,2023-12-18,21.0,321.7
717,2023-12-19,22.1,19.6
718,2023-12-20,15.9,333.6
719,2023-12-21,16.5,4.0
720,2023-12-22,14.1,40.4
721,2023-12-23,16.9,33.9
722,2023-12-24,30.4,69.2
723,2023-12-25,18.1,127.5
724,2023-12-26,36.9,89.4
725,2023-12-27,25.2,93.5
726,2023-12-28,21.8,73.3
727,2023-12-29,22.8,36.2
728,2023-12-30,15.4,7.2
729,2023-12-31,27.8,300.1
